Horel Pando Archvie,,,,
Managed by Brian Blaylock,,,,
Email: blaylockbk@gmail.com,,,,
Allocation: 120 TB,,,,
Numbers below in Gigabytes,,,,
,,,,
DATE,GOES,hrrr,hrrrX,hrrrAK
3/22/2018,3674.13,38849.29,162.64,103.07
3/23/2018,3689.76,38913.75,165,103.55
3/24/2018,3705.58,38977.72,166.76,103.95
3/25/2018,3721.48,39042.37,166.76,103.95
3/26/2018,3737.07,39107.27,167.99,104.09
3/27/2018,3752.5,39172.21,170.88,104.62
3/28/2018,3768.16,39235.99,172.92,105.15
3/29/2018,3783.61,39298.35,174.25,105.41
3/30/2018,3798.96,39360.67,175.33,105.54
3/31/2018,3815.07,39422.36,177.74,106.06
4/1/2018,3830.84,39484.54,179.18,106.52
4/2/2018,3847.05,39547.73,181.75,107.05
4/3/2018,3862.35,39610.06,184.56,107.58
4/4/2018,3877.34,39672.98,187.15,108.11
4/5/2018,3893.05,39735.54,189.36,108.3
4/6/2018,3908.91,39798.96,191.71,108.43
4/7/2018,3924.51,39855.4,192.86,108.76
4/8/2018,3940.14,39927.83,195.28,109.23
4/9/2018,3955.44,39989.7,196.68,109.63
4/10/2018,3969.99,40003.83,196.92,109.7
4/11/2018,3985.88,40113.2,199.63,110.69
4/12/2018,4002.2,40176.42,202.37,111.24
4/13/2018,4018.05,40238.89,204.86,111.81
4/14/2018,4033.45,40301.09,207.48,112.38
4/15/2018,4048.62,40364.01,210.49,112.92
4/16/2018,4064.05,40428.83,213.41,113.56
4/17/2018,4080.22,40492.76,216.21,114.11
4/18/2018,4095.58,40553.94,216.45,114.11
4/19/2018,4110.47,40615.36,219.35,114.54
4/20/2018,4126.1,40676.5,222.26,115.1
4/21/2018,4142.26,40738.16,225.15,115.65
4/22/2018,4158.99,40799.8,228.07,116.21
4/23/2018,4163.53,40815.11,228.55,116.35
4/24/2018,4186.63,40922.72,233.55,117.33
4/25/2018,4203.12,40985.51,235.63,117.9
4/26/2018,4219.1,41047.62,238.21,118.46
4/27/2018,4235.56,41109.14,239.41,118.74
4/28/2018,4251.94,41117.24,239.41,118.74
4/29/2018,4268.32,41235.15,242.91,119.56
4/30/2018,4284.49,41298.03,245.34,119.97
5/1/2018,4301.1,41361.71,246.18,132.56
5/2/2018,4317.12,41428.19,248.29,154.77
5/3/2018,4333.76,41490.15,251.28,164.15
5/4/2018,4350.83,41554.84,254.23,180.08
5/5/2018,4367.84,41617.88,257.18,199.35
5/6/2018,4381.99,41656.95,259.05,210.33
5/7/2018,4400.9,41745.45,262.7,211.15
5/8/2018,4416.54,41806.77,265.46,234.33
5/9/2018,4433.03,41869.62,265.69,252.84
5/10/2018,4449.81,41925.55,268.28,260.56
5/11/2018,4466.26,41995.61,271.58,277.3
5/12/2018,4480.68,42054.93,274.05,292.79
5/13/2018,4492.88,42120.17,277.47,300.47
5/14/2018,4510.5,42182.94,280.04,300.47
5/15/2018,4527.41,42238.33,282.53,315.1
5/16/2018,4544.02,42303.46,284.88,332.94
5/17/2018,4553.47,42374.94,287.61,350.51
5/18/2018,4576.58,42397.28,288.37,356.49
5/19/2018,4593.28,42494.33,292.19,384.11
5/20/2018,4609.91,42561.3,295.24,402
5/21/2018,4626.85,42633.73,298.75,418.86
5/22/2018,4643.82,42698.6,300.66,437.56
5/23/2018,4660.87,42764.05,301.02,456.04
5/24/2018,4678.06,42828.22,303.26,474.42
5/25/2018,4694.83,42891.59,305.34,492.73
5/26/2018,4711.52,42955.99,308.32,511.27
5/27/2018,4728.35,43020.69,311.1,529.77
5/28/2018,4745.22,43053.68,312.62,539.06
5/29/2018,4762.15,43147.67,316.74,566.66
5/30/2018,4778.93,43211.4,319.5,585.01
5/31/2018,4797.06,43275.94,321.61,603.38
6/1/2018,4830.13,43339.56,324.35,621.76
6/2/2018,4862.1,43400.7,326.9,640.26
6/3/2018,4880.46,43460.87,329.85,658.76
6/4/2018,4898.82,43521.77,331.29,677.3
6/5/2018,4917.22,43582.84,331.41,695.66
6/6/2018,4935.93,43644.33,334.04,713.8
6/7/2018,4954.76,43706.53,336.46,731.86
6/8/2018,4974.23,43769.6,338.88,749.82
6/9/2018,4992.92,43832.37,341.66,767.64
6/10/2018,5012,43897.33,344.34,785.57
6/11/2018,5031.25,43959.57,347.14,803.3
6/12/2018,5049.83,44019.25,349.94,820.8
6/13/2018,5068.96,44083.61,350.05,838.04
6/14/2018,5088.03,44145.22,352.88,855.05
6/15/2018,5106.91,44210.31,353.23,872.2
6/16/2018,5119.3,44274.89,355.59,889.35
6/17/2018,5130.69,44340.11,358.37,906.61
6/18/2018,5157.02,44404.7,361.15,924.04
6/19/2018,5183.09,44482.06,364.16,946.02
6/20/2018,5196.16,44530.4,366.24,959.13
6/21/2018,5215.13,44584.35,368.33,973.86
6/22/2018,5234.06,44655.38,370.9,994.72
6/23/2018,5253.3,44718.29,373.23,1012.78
6/24/2018,5269.16,44771.31,374.74,1026.5
6/25/2018,5269.16,44771.31,374.74,1026.5
6/26/2018,5297.33,44903.66,378.71,1067.33
6/27/2018,5316.39,44965.1,379.5,1085.43
6/28/2018,5334.85,45027.4,381.49,1103.57
6/29/2018,5353.67,45090.68,383.66,1121.65
6/30/2018,5372.59,45189.3,385.46,1139.65
7/3/2018,5428.74,45421.13,392.13,1191.85
7/4/2018,5447.28,45498.81,394.51,1209.27
7/5/2018,5465.73,45577.81,397.48,1226.64
7/6/2018,5484.56,45656.2,400.35,1244.14
7/7/2018,5503.31,45733.8,403.09,1261.57
7/8/2018,5521.9,45809.41,405.69,1279.17
7/9/2018,5540.56,45888.1,408.52,1297.33
7/10/2018,5559.34,45965.67,411.13,1315.68
7/11/2018,5578.1,46043.13,413.85,1333.88
7/12/2018,5596.28,46120.7,416.69,1351.63
7/13/2018,5614.41,46200.69,419.56,1353.13
7/14/2018,5632.88,46281.18,422.46,1377.76
7/15/2018,5651.3,46361.61,425.46,1395.57
7/16/2018,5670.3,46441.7,428.22,1413.81
7/17/2018,5689.11,46522.79,431.13,1431.84
7/18/2018,5707.03,46604.26,434.04,1449.74
7/19/2018,5725.67,46684.73,436.91,1467.92
7/20/2018,5744,46765.16,439.77,1485.29
7/21/2018,5762.78,46845.56,442.54,1503.05
7/22/2018,5781.45,46926.58,445.21,1520.61
7/23/2018,5800.33,47007.02,447.63,1538
7/24/2018,5818.93,47087.24,450.28,1555.29
7/25/2018,5837.76,47168.18,452.92,1572.56
7/26/2018,5855.86,47249.28,455.57,1590.15
7/27/2018,5873.61,47330.69,458.22,1608.13
7/28/2018,5892.72,47411.78,460.51,1626.15
7/29/2018,5912.33,47493.31,463.05,1643.69
7/30/2018,5931.68,47574.52,465.46,1661.05
7/31/2018,5951.04,47656,467.39,1678.37
8/1/2018,5967.78,47737.68,468.31,1696.16
8/2/2018,5983.37,47807.74,470.07,1708.04
8/3/2018,5983.37,47807.74,470.07,1708.04
8/4/2018,6009.5,47980.13,476.55,1749.67
8/5/2018,6028.04,48059.79,478.93,1767.28
8/6/2018,6045.23,48139.4,481.31,1784.9
8/7/2018,6056.06,48217.13,483.06,1802.71
8/8/2018,6082.74,48294.94,484.81,1820.75
8/9/2018,6101.91,48372.71,487.28,1838.93
8/11/2018,6139.84,48480.59,490,1863.1
8/12/2018,6158.93,48563.12,490.6,1884.04
8/13/2018,6178.39,48656.38,491.35,1903.53
8/14/2018,6197.46,48726.55,492.18,1919.86
8/15/2018,6217.13,48851.36,495.4,1946.91
8/16/2018,6235.51,48930.7,496.85,1965.57
8/17/2018,6254.59,49010.68,496.96,1983.34
8/18/2018,6274.09,49090.8,498.43,2001.12
8/19/2018,6293.22,49170.71,499.51,2019.03
8/20/2018,6312.74,49250.81,501.92,2037.6
8/21/2018,6331.57,49300.38,504.35,2052.56
8/22/2018,6350.85,49412.81,506.77,2073.73
8/23/2018,6369.24,49492.07,509.13,2091.91
8/24/2018,6388.38,49571.26,510.78,2110.09
8/25/2018,6407.64,49651.15,512.91,2128.27
8/26/2018,6426.75,49730.87,515.04,2146.26
8/27/2018,6445.43,49811.4,516.96,2164.17
8/28/2018,6467.19,49899.13,518.67,2183.92
8/29/2018,6482.7,49969.42,520.23,2200.55
8/30/2018,6502.2,50037.35,521.32,2215.57
8/31/2018,6521.72,50116.62,522.99,2233.36
9/1/2018,6541.54,50206.01,525.12,2253.57
9/2/2018,6561.46,50286.02,527.06,2268.31
9/3/2018,6580.84,50356.48,529.22,2286.09
9/4/2018,6592.45,50448.8,530.9,2306.56
9/5/2018,6618.31,50525.8,532.47,2321.17
9/6/2018,6637.37,50598.46,534.63,2338.82
9/7/2018,6655.79,50689.21,537.15,2359.42
9/8/2018,6675.19,50769.93,539.44,2376.67
9/9/2018,6693.71,50849.91,541,2393.39
9/10/2018,6712.08,50928.83,543,2409.86
9/11/2018,6718.82,51007.97,545.02,2426.47
9/12/2018,6718.82,51056.34,546.47,2436.44
9/13/2018,6767.07,51165.53,549.4,2461.14
9/14/2018,6785.13,51173.94,549.63,2462.64
9/15/2018,6803.51,51295.63,553.88,2495.32
9/16/2018,6822.87,51360.58,555.51,2512.41
9/17/2018,6841.52,51424.42,557.83,2529.75
9/18/2018,6879.24,51488.5,559.77,2547.19
9/19/2018,6903.41,51553.82,561.99,2564.84
9/20/2018,6923.36,51619.9,564.01,2582.44
9/21/2018,6942.45,51685.99,565.91,2600.46
9/22/2018,6961.03,51751.97,567.93,2618.98
9/23/2018,6979.57,51816.99,570.15,2637.86
9/24/2018,6997.81,51881.89,572.48,2656.54
9/25/2018,7016.42,51948.19,574.24,2675.01
9/26/2018,7035.53,52014.86,574.48,2693.48
9/27/2018,7055.47,52080.68,576.48,2711.78
9/28/2018,7074.04,52145.75,578.83,2730.05
9/29/2018,7092.81,52210.63,581.28,2748.02
9/30/2018,7112.23,52277.13,583.42,2765.89
10/1/2018,7131.48,52344.12,585.71,2783.7
10/2/2018,7150.64,52383.91,587.39,2794.31
10/3/2018,7171.14,52479.31,589.8,2820.31
10/4/2018,7191.46,52545.9,591.92,2838.99
10/5/2018,7211.26,52611.46,594.07,2857.66
10/6/2018,7231.14,52677.21,594.19,2876.14
10/7/2018,7251.15,52716.78,595.99,2886.86
10/8/2018,7271.73,52812.5,599.17,2912.75
10/9/2018,7293.34,52881.87,599.66,2931.69
10/10/2018,7314.9,52922.75,599.66,2942.94
10/11/2018,7335.2,53018.81,602.6,2970.2
10/12/2018,7355.29,53085.45,605.41,2989.54
10/13/2018,7375.06,53150.76,607.27,3008.87
10/14/2018,7394.33,53215.42,609.6,3028.58
10/15/2018,7413.82,53279.93,612.15,3048.19
10/16/2018,7434.59,53345,614.76,3067.8
10/17/2018,7454.76,53408.91,616.94,3087.45
10/18/2018,7474.71,53471.77,619.1,3106.89
10/19/2018,7495.63,53534.24,621.57,3126.22
10/20/2018,7515.8,53598.99,624.11,3145.46
10/21/2018,7535.08,53663.14,626.82,3164.6
10/22/2018,7553.45,53726.31,629.33,3183.82
10/23/2018,7558.68,53791.93,631.52,3203.45
10/24/2018,7591.64,53859.08,634.15,3223.56
10/25/2018,7606.61,53881.93,634.15,3230.31
10/26/2018,7606.61,53991.01,637.87,3263.08
10/27/2018,7640,54056.2,638.87,3282.71
10/28/2018,7659.11,54120.47,639.37,3301.7
10/29/2018,7676.48,54186.53,641.21,3320.14
10/30/2018,7692.1,54241.77,643.04,3335.61
10/31/2018,7712.86,54318.48,645.37,3356.61
11/1/2018,7721.9,54384.7,645.88,3374.8
11/2/2018,7749.14,54451.64,647.92,3393.23
11/3/2018,7767.35,54518.93,650.82,3411.67
11/4/2018,7786.26,54585.62,652.31,3431.24
11/5/2018,7804.13,54653.49,654.48,3449.47
11/6/2018,7821.37,54692.6,654.73,3458.87
11/7/2018,7837.72,54785.81,657.33,3487.08
11/8/2018,7853.44,54849.22,657.33,3505.14
11/9/2018,7869.4,54907.48,658.95,3524.22
11/10/2018,7885.92,54980.55,661.94,3544.96
11/11/2018,7902.29,55044.43,664.39,3563.83
11/12/2018,7919.05,55108.88,667.21,3582.51
11/13/2018,7936.21,55173.85,669.83,3601.28
11/14/2018,7954.74,55238.11,670.99,3619.77
11/15/2018,7972.93,55302.53,671.73,3637.56
11/16/2018,7990.67,55366.75,674.17,3655.38
11/17/2018,8008.98,55429.55,675.66,3674.05
11/18/2018,8027.33,55492.5,677.73,3692.9
11/19/2018,8045.35,55557.48,680.19,3711.72
11/21/2018,8080.31,55687.16,684.06,3749.06
11/22/2018,8098.51,55753.35,686.79,3767.51
11/23/2018,8117.87,55822.23,689.5,3785.72
11/24/2018,8136.3,55891.77,692.38,3804.28
11/25/2018,8154.43,55959.55,695.25,3823.48
11/26/2018,8172.35,56026.43,697.95,3843.34
11/27/2018,8190.7,56093.34,700.5,3863.33
11/28/2018,8207.21,56161.03,703.16,3882.36
11/29/2018,8223.99,56229.25,705.22,3901
11/30/2018,8240.94,56298.04,707.27,3919.63
12/1/2018,8257.83,56367.01,709.99,3938.7
12/2/2018,8273.77,56436.3,712.74,3957.75
12/3/2018,8289.31,56503.04,715.44,3976.46
12/4/2018,8304.41,56567.84,718.08,3995.11
12/5/2018,8319.53,56632.58,720.68,4012.17
12/6/2018,8335.97,56698.55,723.47,4029.61
12/7/2018,8352.63,56765.17,726.3,4048.24
12/8/2018,8368.92,56830.87,728.85,4067.07
12/9/2018,8384.62,56895.97,731.77,4086.06
12/10/2018,8400.06,56961.79,734.53,4105.64
12/11/2018,8416.29,57027.86,737.03,4125.2
12/12/2018,8433.67,57089.97,737.28,4143.12
12/13/2018,8451.81,57162.87,740.48,4163.83
12/14/2018,8470,57230.77,742.9,4181.21
12/15/2018,8487.51,57299.29,746.18,4201.45
12/16/2018,8504.4,57367.66,749,4220.3
12/17/2018,8521.94,57434.28,751.79,4239.57
12/18/2018,8539.57,57498.87,754.28,4258.32
12/19/2018,8556.12,57563.6,756.98,4276.92
12/20/2018,8573.49,57624.47,759.12,4293.75
12/21/2018,8591.09,57690.17,761.68,4311.87
12/22/2018,8608.48,57765.37,763.71,4331.41
12/23/2018,8624.93,57829.68,765.57,4349.4
12/24/2018,8641.21,57894.7,768.31,4367.47
12/25/2018,8657.8,57959.54,770.91,4385.6
12/26/2018,8674.59,58025.65,773.71,4403.8
12/27/2018,8685.75,58036.92,773.96,4406.86
12/28/2018,8703.12,58036.92,773.96,4406.86
12/29/2018,8720.41,58036.92,773.96,4406.86
12/30/2018,8737.31,58036.92,773.96,4406.86
12/31/2018,8753.58,58036.92,773.96,4406.86
1/1/2019,8769.39,58036.92,773.96,4406.86
1/2/2019,8785.86,58036.92,773.96,4406.86
1/3/2019,8802.7,58560.88,773.96,4550.68
1/4/2019,8819.37,58627.27,773.96,4568.86
1/5/2019,8835.78,58665.58,773.96,4578.02
1/6/2019,8852.25,58762.21,773.96,4605.11
1/7/2019,8869.56,58830.49,773.96,4623.11
1/8/2019,8886.64,58897.26,773.96,4641.26
1/9/2019,8904.28,58968.12,773.96,4659.45
1/10/2019,8921.33,59032.36,773.96,4677.31
1/11/2019,8937.82,59098.83,773.96,4694.91
1/12/2019,8954.01,59166.68,773.96,4712.28
1/13/2019,8970.9,59233.63,773.96,4730.04
1/14/2019,8987.77,59298.96,773.96,4748.51
1/15/2019,9003.28,59365.83,773.96,4767.33
1/16/2019,9019.63,59433.53,773.96,4786.11
1/17/2019,9036.68,59500.8,773.96,4804.17
1/18/2019,9053.99,59569.31,773.96,4821.45
1/19/2019,9071.16,59636.14,773.96,4838.48
1/20/2019,9087.68,59703.52,773.96,4855.65
1/21/2019,9104.06,59769.99,773.96,4873.17
1/22/2019,9120.62,59835.99,773.96,4890.97
1/23/2019,9137.24,59903.37,773.96,4908.88
1/24/2019,9154.36,59969.4,773.96,4927.14
1/25/2019,9171.77,60033.07,773.96,4945.34
1/26/2019,9188.74,60097.14,773.96,4963.54
1/27/2019,9205.48,60165.7,773.96,4981.57
1/28/2019,9222.3,60230.44,773.96,4999.7
1/29/2019,9238.69,60295.36,776.2,5017.86
1/30/2019,9255.53,60359.73,776.32,5035.85
1/31/2019,9271.9,60423.6,778.29,5053.29
2/1/2019,9288.88,60489.04,781.05,5070.61
2/2/2019,9305.94,60556.46,783.52,5086.69
2/3/2019,9322.56,60627.39,786.69,5106.17
2/4/2019,9339.14,60668.87,788.47,5115.46
2/5/2019,9355.46,60770.58,792.49,5142.95
2/6/2019,9371.82,60839.91,794.06,5161.45
2/7/2019,9388.07,60907.9,796.99,5180.32
2/8/2019,9403.85,60975.11,799.96,5198.7
2/9/2019,9420.18,61042.55,802.52,5217.27
2/10/2019,9436.86,61110.61,805.37,5235.73
2/11/2019,9453.83,61179.99,808.42,5253.37
2/12/2019,9470.36,61249.17,810.43,5271.42
2/13/2019,9486.98,61320.03,810.82,5289.12
2/14/2019,9503.6,61390.08,813.62,5306.63
2/15/2019,9520.46,61460.47,816.51,5324.36
2/16/2019,9537.28,61530.86,817.07,5342.67
2/17/2019,9552.97,61598.81,817.75,5361.03
2/18/2019,9568.15,61666.59,819.38,5379.34
2/19/2019,9583.75,61733.6,821.81,5397.53
2/20/2019,9600,61803.46,824.99,5415.61
2/21/2019,9616.87,61874.15,827.91,5433.26
2/22/2019,9633.84,61929.05,830.09,5449.11
2/23/2019,9650.77,62012.09,833.97,5468.41
2/24/2019,9667.66,62080.68,836.45,5486.53
2/25/2019,9684.47,62146.56,838.43,5504.78
2/26/2019,9698.25,62211.04,840.8,5523.14
2/27/2019,9715.04,62277.52,843.57,5541.05
2/28/2019,9731.73,62348.04,846.15,5559.33
3/1/2019,9748.11,62415.23,847.49,5577.74
3/2/2019,9765.01,62479.43,850.33,5595.61
3/3/2019,9781.91,62545.96,853.45,5613.63
3/4/2019,9798.9,62611.84,856.42,5631.95
3/5/2019,9815.53,62677.11,858.31,5650.27
3/6/2019,9832.57,62743.81,860.02,5668.44
3/7/2019,9849.55,62811.67,862.88,5686.85
3/8/2019,9867.68,62880.08,865.74,5705.01
3/9/2019,9885.09,62948.59,869.04,5723.29
3/10/2019,9901.62,63015.75,871.98,5740.75
3/11/2019,9918.39,63084.26,874.99,5760.15
3/12/2019,9935.35,63153.63,878.04,5779.3
3/13/2019,9952.36,63222.58,881.24,5798.29
3/14/2019,9969.45,63290.74,884.31,5817.08
3/15/2019,9986.66,63357.21,887.31,5835.72
3/16/2019,10004.31,63422.74,890.26,5854.46
3/17/2019,10022.16,63487.23,893.29,5873.42
3/18/2019,10039.28,63525.02,895.16,5884.46
3/19/2019,10056.52,63616.25,898.96,5910.08
3/20/2019,10073.87,63683.7,902.05,5928.15
3/21/2019,10090.63,63751.22,904.17,5946.65
3/22/2019,10107.25,63818.19,907.04,5965.42
3/23/2019,10123.79,63884.31,909.97,5984.16
3/24/2019,10140.04,63949.69,911.83,6002.79
3/25/2019,10156.47,64016.24,911.83,6021.65
3/26/2019,10173.01,64082.21,913.4,6040.52
3/27/2019,10189.67,64147.9,913.53,6058.58
03/28/2019,11038.48,64230.16,915.66,6081.48
03/29/2019,11065.11,64282.76,918.03,6094.46
03/30/2019,11676.18,64349.83,921.10,6112.69
03/31/2019,11709.75,64415.64,923.08,6130.88
04/01/2019,11743.42,64481.55,925.97,6148.56
04/02/2019,11777.38,64548.28,928.76,6165.81
04/03/2019,11811.74,64605.95,930.37,6181.58
04/04/2019,11846.37,64673.11,932.36,6199.45
